,chi_sub,is_in_matts,name
340,"4434    15.668136
Name: chi_sub, dtype: float64",0,cassan_14_43_2593.det.lc.gz
341,"4436    23.148482
Name: chi_sub, dtype: float64",0,cassan_14_44_1454.det.lc.gz
342,"4441    14.77236
Name: chi_sub, dtype: float64",0,cassan_14_46_1281.det.lc.gz
344,"4444    32.171544
Name: chi_sub, dtype: float64",0,cassan_14_48_585.det.lc.gz
345,"4445    19.362341
Name: chi_sub, dtype: float64",0,cassan_14_4_2944.det.lc.gz
348,"4453    1.883629
Name: chi_sub, dtype: float64",0,cassan_14_59_267.det.lc.gz
349,"4454    15.065888
Name: chi_sub, dtype: float64",0,cassan_14_59_546.det.lc.gz
350,"4455    6.284059
Name: chi_sub, dtype: float64",0,cassan_14_59_658.det.lc.gz
351,"4456    39.831846
Name: chi_sub, dtype: float64",0,cassan_14_60_864.det.lc.gz
353,"4459    30.343057
Name: chi_sub, dtype: float64",0,cassan_14_6_1738.det.lc.gz
354,"4460    11.550899
Name: chi_sub, dtype: float64",0,cassan_14_6_2368.det.lc.gz
355,"4462    10.375332
Name: chi_sub, dtype: float64",0,cassan_14_71_803.det.lc.gz
356,"4463    8.389877
Name: chi_sub, dtype: float64",0,cassan_14_72_1452.det.lc.gz
357,"4465    19.498827
Name: chi_sub, dtype: float64",0,cassan_14_73_3308.det.lc.gz
358,"4467    32.399471
Name: chi_sub, dtype: float64",0,cassan_14_75_1139.det.lc.gz
362,"4473    7.783871
Name: chi_sub, dtype: float64",0,cassan_14_7_1465.det.lc.gz
363,"4474    27.286752
Name: chi_sub, dtype: float64",0,cassan_14_7_1686.det.lc.gz
364,"4478    22.427107
Name: chi_sub, dtype: float64",0,cassan_14_88_1011.det.lc.gz
368,"4490    0.724706
Name: chi_sub, dtype: float64",0,cassan_15_101_2965.det.lc.gz
369,"4491    11.607414
Name: chi_sub, dtype: float64",0,cassan_15_109_3331.det.lc.gz
372,"4494    17.590038
Name: chi_sub, dtype: float64",0,cassan_15_110_1655.det.lc.gz
373,"4495    9.223299
Name: chi_sub, dtype: float64",0,cassan_15_111_2251.det.lc.gz
374,"4496    29.985374
Name: chi_sub, dtype: float64",0,cassan_15_111_518.det.lc.gz
375,"4497    11.019028
Name: chi_sub, dtype: float64",0,cassan_15_112_1766.det.lc.gz
376,"4498    23.420889
Name: chi_sub, dtype: float64",0,cassan_15_112_188.det.lc.gz
377,"4502    12.017374
Name: chi_sub, dtype: float64",0,cassan_15_123_2083.det.lc.gz
378,"4503    33.930593
Name: chi_sub, dtype: float64",0,cassan_15_126_1363.det.lc.gz
379,"4504    17.015178
Name: chi_sub, dtype: float64",0,cassan_15_126_437.det.lc.gz
380,"4505    24.78259
Name: chi_sub, dtype: float64",0,cassan_15_127_2807.det.lc.gz
381,"4506    2.035402
Name: chi_sub, dtype: float64",0,cassan_15_127_3201.det.lc.gz
382,"4507    4.008466
Name: chi_sub, dtype: float64",0,cassan_15_136_2435.det.lc.gz
383,"4509    39.466393
Name: chi_sub, dtype: float64",0,cassan_15_137_708.det.lc.gz
384,"4513    0.000083
Name: chi_sub, dtype: float64",0,cassan_15_150_1857.det.lc.gz
385,"4516    39.928529
Name: chi_sub, dtype: float64",0,cassan_15_21_1790.det.lc.gz
386,"4517    21.213425
Name: chi_sub, dtype: float64",0,cassan_15_21_2654.det.lc.gz
387,"4518    19.131183
Name: chi_sub, dtype: float64",0,cassan_15_22_1924.det.lc.gz
388,"4520    24.319172
Name: chi_sub, dtype: float64",0,cassan_15_22_487.det.lc.gz
391,"4531    1.409911
Name: chi_sub, dtype: float64",0,cassan_15_48_382.det.lc.gz
392,"4532    19.314341
Name: chi_sub, dtype: float64",0,cassan_15_49_2178.det.lc.gz
393,"4533    30.157147
Name: chi_sub, dtype: float64",0,cassan_15_49_703.det.lc.gz
394,"4534    16.342535
Name: chi_sub, dtype: float64",0,cassan_15_4_191.det.lc.gz
396,"4538    16.947439
Name: chi_sub, dtype: float64",0,cassan_15_56_2319.det.lc.gz
397,"4540    31.609848
Name: chi_sub, dtype: float64",0,cassan_15_57_970.det.lc.gz
398,"4541    1.2077
Name: chi_sub, dtype: float64",0,cassan_15_59_264.det.lc.gz
399,"4545    9.43013
Name: chi_sub, dtype: float64",0,cassan_15_60_750.det.lc.gz
402,"4548    21.20106
Name: chi_sub, dtype: float64",0,cassan_15_62_3052.det.lc.gz
403,"4551    9.427519
Name: chi_sub, dtype: float64",0,cassan_15_6_1465.det.lc.gz
405,"4553    11.306273
Name: chi_sub, dtype: float64",0,cassan_15_6_2553.det.lc.gz
406,"4554    15.498445
Name: chi_sub, dtype: float64",0,cassan_15_70_104.det.lc.gz
407,"4560    33.725842
Name: chi_sub, dtype: float64",0,cassan_15_72_2281.det.lc.gz
408,"4561    12.491092
Name: chi_sub, dtype: float64",0,cassan_15_72_2523.det.lc.gz
410,"4565    19.293152
Name: chi_sub, dtype: float64",0,cassan_15_74_57.det.lc.gz
412,"4567    24.661715
Name: chi_sub, dtype: float64",0,cassan_15_76_2779.det.lc.gz
413,"4568    29.484644
Name: chi_sub, dtype: float64",0,cassan_15_76_732.det.lc.gz
414,"4569    9.732048
Name: chi_sub, dtype: float64",0,cassan_15_7_280.det.lc.gz
415,"4571    21.847673
Name: chi_sub, dtype: float64",0,cassan_15_83_1156.det.lc.gz
417,"4575    10.94379
Name: chi_sub, dtype: float64",0,cassan_15_88_3156.det.lc.gz
418,"4577    25.930432
Name: chi_sub, dtype: float64",0,cassan_15_8_3264.det.lc.gz
420,"4582    26.217146
Name: chi_sub, dtype: float64",0,cassan_15_98_3283.det.lc.gz
