,chi_2_1,chi_2_2,name,q_fitted,q_true,s_fitted,s_true,u0_fitted,u0_true
300,-19483.8684948,-19429.2114478,cassan_47_151_3309.det.lc.gz,0.000128745378347,0.000722447,0.987914665978,1.49942,0.00857936795295,0.00905925
301,-98585.5803754,-24960.0300954,cassan_47_21_1013.det.lc.gz,4.23190412436e-07,1.26618e-06,0.99961633931,0.984597,0.00076746842895,0.00190383
302,-19325.6999332,-19291.952795,cassan_47_4_224.det.lc.gz,1.24516148443e-05,1.51895e-05,0.988665472006,5.85776,0.0227823860624,0.0228295
303,-19823.6751156,-19212.6890988,cassan_47_69_2627.det.lc.gz,4.66614105123e-05,4.77709e-06,1.08426460065,0.92276,0.00674172940589,0.00675738
304,-35105.4871428,-20599.4320499,cassan_47_71_203.det.lc.gz,2.28942263493e-06,5.25472e-05,1.06236533159,1.04145,0.11754643707,0.115258
305,-19126.8998921,-19068.7229293,cassan_47_83_1654.det.lc.gz,0.000169214768159,0.000794333,1.07788122152,1.45006,0.133310110541,0.13421
306,-19674.1558738,-18883.8045479,cassan_47_8_3302.det.lc.gz,0.00577264041359,0.0038554,0.824428661071,1.1989,0.374330403161,0.376727
307,-19468.9965077,-19310.0618227,cassan_47_96_380.det.lc.gz,1.83502643891e-08,0.00116321,1.00118226554,0.324348,0.00124848722112,0.00130713
308,-19162.4171034,-19088.8133417,cassan_48_139_25.det.lc.gz,2.3284698107e-06,2.19096e-06,1.59857350983,1.57529,0.899600458137,0.870604
309,-42525.4428673,-20253.1675848,cassan_48_17_779.det.lc.gz,1.6124825488e-05,0.000151197,1.39009598192,1.44546,0.527203552696,0.628859
310,-20220.327803,-19912.0138591,cassan_48_19_2772.det.lc.gz,9.14331280038e-11,0.00400436,1.05106926589,1.19259,0.0980299838907,0.370866
311,-21809.3303462,-19714.4120696,cassan_48_32_1344.det.lc.gz,2.11145421291e-07,1.50766e-05,0.989654390455,1.00047,0.0196126241758,0.0199769
312,-59629.6075924,-21443.0091437,cassan_48_4_782.det.lc.gz,2.11668291804e-05,7.26743e-05,0.997609481105,0.3991,0.00478617126414,0.0132245
